instance,tw,info_tts_n,info_tts_kn,triang_tts,info_tts_phase,info_tts_minseps,info_tts_pmcs
bayes-net_alarm.net,996,37,7,0.01,4,11,22
bayes-net_andes.net,-1,223,133,TO,2,541732161,8
bayes-net_asia.net,40,8,4,0.02,4,2,4
bayes-net_barley.net,17140796,48,33,0.12,4,1090,1365
bayes-net_cancer.net,16,5,0,0.02,1,0,0
bayes-net_child.net,642,20,6,0.03,4,5,10
bayes-net_diabetes.net,-1,413,335,MO,2,179631398,0
bayes-net_earthquake.net,16,5,0,0.02,1,0,0
bayes-net_hailfinder.net,9406,56,21,0.03,4,202,516
bayes-net_hepar2.net,2617,70,7,0.05,4,6,10
bayes-net_insurance.net,23880,27,20,0.02,4,94,219
bayes-net_link.net,-1,724,494,TO,2,121090015,0
bayes-net_mildew.net,3400464,35,20,0.14,4,266,758
bayes-net_munin1.net,-1,186,107,MO,2,543305316,0
bayes-net_munin2.net,-1,1003,309,TO,2,219934910,11990
bayes-net_munin3.net,-1,1041,289,TO,2,272260985,3163
bayes-net_munin4.net,-1,1038,342,TO,2,173576195,73208
bayes-net_munin.net,-1,1041,342,TO,2,166943765,73208
bayes-net_pathfinder.net,182641,109,12,0.06,4,18,21
bayes-net_pigs.net,-1,441,155,TO,2,368523171,8
bayes-net_sachs.net,216,11,0,0.02,1,0,0
bayes-net_survey.net,32,6,0,0.02,1,0,0
bayes-net_water.net,3028305,32,24,0.05,4,266,328
bayes-net_win95pts.net,2684,76,31,0.04,4,287,273
totals,-,0,0,15,0,0,0
